"Depart";"Arrivee";"NB_PERS";"Poids de voyages";"Nombre d'abonnements";"MOIS";"MILLESIME";"Parcous";"Geom_depart";"Geom_arrivee";"KCO2_TER_km_tot";"KCO2_Voit_km_tot";"ECO_CO2_km_pers"
"ALBI";"TOULOUSE MATABIAU";2330;0,0401661811098278;0;"Janvier";"2023";"ALBI - TOULOUSE MATABIAU";"43.92238, 2.137958";"43.611206, 1.453616";56,852;466;409,148
"CARCASSONNE";"TOULOUSE MATABIAU";1862;0,0320984674791843;0;"Janvier";"2023";"CARCASSONNE - TOULOUSE MATABIAU";"43.218029, 2.351824";"43.611206, 1.453616";45,4328;372,4;326,9672
"AGEN";"TOULOUSE MATABIAU";1490;0,025685669465083;0;"Janvier";"2023";"AGEN - TOULOUSE MATABIAU";"44.208311, 0.620932";"43.611206, 1.453616";36,356;298;261,644
"PERPIGNAN";"TOULOUSE MATABIAU";1414;0,0243755279353204;0;"Janvier";"2023";"PERPIGNAN - TOULOUSE MATABIAU";"42.696292, 2.879779";"43.611206, 1.453616";34,5016;282,8;248,2984
"MONTPELLIER SAINT-ROCH";"NARBONNE";1384;0,0238583668051509;0;"Janvier";"2023";"MONTPELLIER SAINT-ROCH - NARBONNE";"43.604738, 3.880674";"43.190387, 3.00591";33,7696;276,8;243,0304
"NARBONNE";"TOULOUSE MATABIAU";1365;0,0235308314227103;0;"Janvier";"2023";"NARBONNE - TOULOUSE MATABIAU";"43.190387, 3.00591";"43.611206, 1.453616";33,306;273;239,694
"AVIGNON CENTRE";"MONTPELLIER SAINT-ROCH";1348;0,0232377734489476;0;"Janvier";"2023";"AVIGNON CENTRE - MONTPELLIER SAINT-ROCH";"43.9419, 4.805281";"43.604738, 3.880674";32,8912;269,6;236,7088
"MONTPELLIER SAINT-ROCH";"PERPIGNAN";1234;0,0212725611543036;0;"Janvier";"2023";"MONTPELLIER SAINT-ROCH - PERPIGNAN";"43.604738, 3.880674";"42.696292, 2.879779";30,1096;246,8;216,6904
"CAHORS";"TOULOUSE MATABIAU";1188;0,0204795807547105;0;"Janvier";"2023";"CAHORS - TOULOUSE MATABIAU";"44.449275, 1.433325";"43.611206, 1.453616";28,9872;237,6;208,6128
"RODEZ";"TOULOUSE MATABIAU";1077;0,0185660845730835;0;"Janvier";"2023";"RODEZ - TOULOUSE MATABIAU";"44.362633, 2.58056";"43.611206, 1.453616";26,2788;215,4;189,1212
