Parcours,DÇpart,ArrivÇe,Nombre de voyages,Poids de voyages,Nombre d'abonnements
MONTPELLIER SAINT-ROCH - NIMES,MONTPELLIER SAINT-ROCH,NIMES,2873,"0,0336669166588544",0
MONTPELLIER SAINT-ROCH - SETE,MONTPELLIER SAINT-ROCH,SETE,2806,"0,0328817849442205",0
NARBONNE - TOULOUSE MATABIAU,NARBONNE,TOULOUSE MATABIAU,2660,"0,0311709009093466",0
ALBI - TOULOUSE MATABIAU,ALBI,TOULOUSE MATABIAU,2490,"0,0291787756632605",0
MONTAUBAN - TOULOUSE MATABIAU,MONTAUBAN,TOULOUSE MATABIAU,2244,"0,026296053248336",0
AGEN - TOULOUSE MATABIAU,AGEN,TOULOUSE MATABIAU,2160,"0,0253117090090935",0
AVIGNON CENTRE - MONTPELLIER SAINT-ROCH,AVIGNON CENTRE,MONTPELLIER SAINT-ROCH,2120,"0,0248429736570732",0
PERPIGNAN - TOULOUSE MATABIAU,PERPIGNAN,TOULOUSE MATABIAU,2015,"0,0236125433580201",0
TARBES - TOULOUSE MATABIAU,TARBES,TOULOUSE MATABIAU,2013,"0,0235891065904191",0
BEZIERS - MONTPELLIER SAINT-ROCH,BEZIERS,MONTPELLIER SAINT-ROCH,1860,"0,0217961938689416",0
CARCASSONNE - TOULOUSE MATABIAU,CARCASSONNE,TOULOUSE MATABIAU,1780,"0,0208587231649011",0
MONTPELLIER SAINT-ROCH - NARBONNE,MONTPELLIER SAINT-ROCH,NARBONNE,1723,"0,0201907752882722",0
MONTPELLIER SAINT-ROCH - PERPIGNAN,MONTPELLIER SAINT-ROCH,PERPIGNAN,1504,"0,0176244492359614",0
CAHORS - TOULOUSE MATABIAU,CAHORS,TOULOUSE MATABIAU,1492,"0,0174838286303553",0
RODEZ - TOULOUSE MATABIAU,RODEZ,TOULOUSE MATABIAU,1269,"0,0148706290428424",0
PAU - TOULOUSE MATABIAU,PAU,TOULOUSE MATABIAU,1102,"0,0129136589481579",0
ALES - NIMES,ALES,NIMES,1093,"0,0128081934939533",0
FOIX - TOULOUSE MATABIAU,FOIX,TOULOUSE MATABIAU,1082,"0,0126792912721478",0
CASTRES - TOULOUSE MATABIAU,CASTRES,TOULOUSE MATABIAU,1009,"0,0118238492547108",0
AUCH - TOULOUSE MATABIAU,AUCH,TOULOUSE MATABIAU,968,"0,01134339551889",0
PAMIERS - TOULOUSE MATABIAU,PAMIERS,TOULOUSE MATABIAU,963,"0,0112848035998875",0
AGDE - MONTPELLIER SAINT-ROCH,AGDE,MONTPELLIER SAINT-ROCH,873,"0,0102301490578419",0
COLLIOURE - TOULOUSE MATABIAU,COLLIOURE,TOULOUSE MATABIAU,820,"0,00960907471641511",0
AVIGNON CENTRE - NIMES,AVIGNON CENTRE,NIMES,819,"0,00959735633261461",0
BRIVE LA GAILLARDE - TOULOUSE MATABIAU,BRIVE LA GAILLARDE,TOULOUSE MATABIAU,818,"0,0095856379488141",0
NARBONNE - PERPIGNAN,NARBONNE,PERPIGNAN,815,"0,00955048279741258",0
MURET - TOULOUSE MATABIAU,MURET,TOULOUSE MATABIAU,799,"0,00936298865660448",0
LUNEL - MONTPELLIER SAINT-ROCH,LUNEL,MONTPELLIER SAINT-ROCH,789,"0,00924580481859942",0
GAILLAC - TOULOUSE MATABIAU,GAILLAC,TOULOUSE MATABIAU,766,"0,00897628199118778",0
