objectid,ref_tronc,nom_tronc,ligne1,ligne2,ligne3,nb_voie,type_voie,uic,st_length_s
"3",BS-AGD,Béziers-Agde,Ligne littorale,,,"2",ligne électrifiée,"3",21142.0806680388
"17",TES-AL,Tessonnières-Albi,Toulouse-Rodez,,,"1",ligne non électrifiée,7AV,16363.6480069231
"16",TS-LD,Tarbes-Lourdes,Toulouse-Pau,,,"2",ligne électrifiée,"5",21201.8117969325
"39",SST-TES,Saint Sulpice-Tessonnières,Toulouse-Rodez,Toulouse-Aurillac,,"1",ligne non électrifiée,"6",27362.9415464049
"57",SVC-MAU,Séverac-Millau,Rodez-Millau,,,"1",ligne électrifiée,9AV,30968.0167919253
"59",AL-RDZ,Albi-Rodez,Toulouse-Rodez,,,"1",ligne non électrifiée,8AV,83657.3844190059
"22",MBN-AN,Montauban-Agen,Toulouse-Agen,,,"2",ligne électrifiée,"4",71816.2543627308
"61",VR-FIG,Villefranche de Rouergue-Figeac,Toulouse-Aurillac,,,"1",ligne non électrifiée,8AV,35330.7451324878
"64",MBN-CAH,Montauban-Cahors,Toulouse-Brive,,,"2",ligne électrifiée,"4",64354.6769363510
"24",SJY-MBN,Saint Jory-Montauban,Toulouse-Brive,Toulouse-Agen,,"2",ligne électrifiée,"3",35238.8938322510
"25",TCN-AV,Tarascon-Avignon,Ligne littorale,,,"2",ligne électrifiée,"3",21806.7990117069
"32",LBS-LGG,La Bastide-Langogne,Nîmes-Clermont Ferrand,,,"1",ligne non électrifiée,9AV,20171.4553617399
"44",MTJ-TS,Montréjeau-Tarbes,Toulouse-Pau,,,"2",ligne électrifiée,"5",53473.7185966193
"68",TE-SST,Toulouse-Saint Sulpice,Toulouse-Rodez,Toulouse-Mazamet,Toulouse-Aurillac,"1",ligne non électrifiée,"6",30805.9743810998
"69",SDM-AC,Saint Denis près Martel-Aurillac,Saint Denis près Martel-Aurillac,,,"1",ligne non électrifiée,9AV,75652.1760396836
