Parcours,Nombre de voyages,Poids de voyages,Nombre d'abonnements,Départ,Arrivée
MONTPELLIER SAINT-ROCH - NIMES,2611.0,0.036697119,0.0,MONTPELLIER SAINT-ROCH,NIMES
TARBES - TOULOUSE MATABIAU,2460.0,0.034574842,0.0,TARBES,TOULOUSE MATABIAU
ALBI - TOULOUSE MATABIAU,2438.0,0.034265636,0.0,ALBI,TOULOUSE MATABIAU
MONTAUBAN - TOULOUSE MATABIAU,2353.0,0.033070977,0.0,MONTAUBAN,TOULOUSE MATABIAU
AGEN - TOULOUSE MATABIAU,2125.0,0.029866479,0.0,AGEN,TOULOUSE MATABIAU
NARBONNE - TOULOUSE MATABIAU,1761.0,0.024750527,0.0,NARBONNE,TOULOUSE MATABIAU
PERPIGNAN - TOULOUSE MATABIAU,1670.0,0.023471539,0.0,PERPIGNAN,TOULOUSE MATABIAU
CARCASSONNE - TOULOUSE MATABIAU,1617.0,0.022726634,0.0,CARCASSONNE,TOULOUSE MATABIAU
BEZIERS - MONTPELLIER SAINT-ROCH,1562.0,0.021953619,0.0,BEZIERS,MONTPELLIER SAINT-ROCH
AVIGNON CENTRE - MONTPELLIER SAINT-ROCH,1526.0,0.021447646,0.0,AVIGNON CENTRE,MONTPELLIER SAINT-ROCH
MONTPELLIER SAINT-ROCH - SETE,1498.0,0.021054111,0.0,MONTPELLIER SAINT-ROCH,SETE
CAHORS - TOULOUSE MATABIAU,1437.0,0.020196767,0.0,CAHORS,TOULOUSE MATABIAU
RODEZ - TOULOUSE MATABIAU,1386.0,0.019479972,0.0,RODEZ,TOULOUSE MATABIAU
MONTPELLIER SAINT-ROCH - NARBONNE,1325.0,0.018622628,0.0,MONTPELLIER SAINT-ROCH,NARBONNE
MONTPELLIER SAINT-ROCH - PERPIGNAN,1314.0,0.018468025,0.0,MONTPELLIER SAINT-ROCH,PERPIGNAN
ALES - NIMES,1073.0,0.015080815,0.0,ALES,NIMES
AUCH - TOULOUSE MATABIAU,1022.0,0.01436402,0.0,AUCH,TOULOUSE MATABIAU
BRIVE LA GAILLARDE - TOULOUSE MATABIAU,1020.0,0.01433591,0.0,BRIVE LA GAILLARDE,TOULOUSE MATABIAU
CASTRES - TOULOUSE MATABIAU,1018.0,0.0143078,0.0,CASTRES,TOULOUSE MATABIAU
PAMIERS - TOULOUSE MATABIAU,858.0,0.01205903,0.0,PAMIERS,TOULOUSE MATABIAU
FOIX - TOULOUSE MATABIAU,798.0,0.011215741,0.0,FOIX,TOULOUSE MATABIAU
PAU - TOULOUSE MATABIAU,787.0,0.011061138,0.0,PAU,TOULOUSE MATABIAU
LUNEL - MONTPELLIER SAINT-ROCH,751.0,0.010555165,0.0,LUNEL,MONTPELLIER SAINT-ROCH
SAINT-GAUDENS - TOULOUSE MATABIAU,682.0,0.009585383,0.0,SAINT-GAUDENS,TOULOUSE MATABIAU
AX LES THERMES - TOULOUSE MATABIAU,676.0,0.009501054,0.0,AX LES THERMES,TOULOUSE MATABIAU
AVIGNON CENTRE - NIMES,636.0,0.008938862,0.0,AVIGNON CENTRE,NIMES
NARBONNE - PERPIGNAN,631.0,0.008868587,0.0,NARBONNE,PERPIGNAN
MURET - TOULOUSE MATABIAU,628.0,0.008826423,0.0,MURET,TOULOUSE MATABIAU
GAILLAC - TOULOUSE MATABIAU,625.0,0.008784259,0.0,GAILLAC,TOULOUSE MATABIAU
LOURDES - TOULOUSE MATABIAU,574.0,0.008067463,0.0,LOURDES,TOULOUSE MATABIAU
BOUSSENS - TOULOUSE MATABIAU,565.0,0.00794097,0.0,BOUSSENS,TOULOUSE MATABIAU
AGDE - MONTPELLIER SAINT-ROCH,522.0,0.007336613,0.0,AGDE,MONTPELLIER SAINT-ROCH
LANNEMEZAN - TOULOUSE MATABIAU,517.0,0.007266339,0.0,LANNEMEZAN,TOULOUSE MATABIAU
FRONTIGNAN - MONTPELLIER SAINT-ROCH,513.0,0.007210119,0.0,FRONTIGNAN,MONTPELLIER SAINT-ROCH
ALBI MADELEINE - TOULOUSE MATABIAU,480.0,0.006746311,0.0,ALBI MADELEINE,TOULOUSE MATABIAU
