objectid,id_rte500,nature,toponyme,type,codeuic,region,departement,date_maj,geo_shape,geo_point_2d,
3,1456,Gare de voyageurs et de fret,Portet-Saint-Simon,gare avec accueil du public,87611400,Occitanie,31,2018-02-07T01:00:00+00:00,"{""coordinates"": [1.388634471956824, 43.527487224320076], ""type"": ""Point""}",43.527487224320076, 1.388634471956824
4,1457,Gare de voyageurs,Montrabé,halte ferroviaire,87611848,Occitanie,31,2018-02-07T01:00:00+00:00,"{""coordinates"": [1.5233678762803382, 43.645245668804705], ""type"": ""Point""}",43.645245668804705, 1.5233678762803382
13,1584,Gare de voyageurs,Bourg-Madame,gare avec accueil du public,87784876,Occitanie,66,2018-02-07T01:00:00+00:00,"{""coordinates"": [1.9485651814585896, 42.43256868728393], ""type"": ""Point""}",42.43256868728393, 1.9485651814585896
16,1595,Gare de voyageurs et de fret,Colomiers,gare avec accueil du public,87611467,Occitanie,31,2018-02-07T01:00:00+00:00,"{""coordinates"": [1.3340385138961044, 43.60326939335566], ""type"": ""Point""}",43.60326939335566, 1.3340385138961044
29,1748,Gare de voyageurs,Grand-Combe-La Pise,gare avec accueil du public,87775254,Occitanie,30,2018-02-07T01:00:00+00:00,"{""coordinates"": [4.03327003378751, 44.209920030108925], ""type"": ""Point""}",44.209920030108925, 4.03327003378751
31,1756,Gare de voyageurs et de fret,Souillac,gare avec accueil du public,87594333,Occitanie,46,2018-02-07T01:00:00+00:00,"{""coordinates"": [1.4668203983117802, 44.90210644181075], ""type"": ""Point""}",44.90210644181075, 1.4668203983117802
32,1784,Gare de voyageurs,Le Monastier,halte ferroviaire,87783308,Occitanie,48,2018-02-07T01:00:00+00:00,"{""coordinates"": [3.252315043113016, 44.50928369571503], ""type"": ""Point""}",44.50928369571503, 3.252315043113016
38,1911,Gare de voyageurs,Olette-Canaveilles-les-Bains,halte ferroviaire,87784728,Occitanie,66,2018-02-07T01:00:00+00:00,"{""coordinates"": [2.272509051697664, 42.554636592136994], ""type"": ""Point""}",42.554636592136994, 2.272509051697664
39,1913,Gare de voyageurs et de fret,Pamiers,gare avec accueil du public,87611343,Occitanie,9,2018-02-07T01:00:00+00:00,"{""coordinates"": [1.6198423186039588, 43.115886266516604], ""type"": ""Point""}",43.115886266516604, 1.6198423186039588
45,1964,Gare de voyageurs,Quillan,halte ferroviaire,87615260,Occitanie,11,2018-02-07T01:00:00+00:00,"{""coordinates"": [2.1815457225755757, 42.873743029704535], ""type"": ""Point""}",42.873743029704535, 2.1815457225755757
46,2064,Gare de voyageurs,L'Isle-Jourdain,gare avec accueil du public,87611806,Occitanie,32,2018-02-07T01:00:00+00:00,"{""coordinates"": [1.0897045076423808, 43.61731141961547], ""type"": ""Point""}",43.61731141961547, 1.0897045076423808
55,2099,Gare de voyageurs,Saint-Georges-de-Luzençon,halte ferroviaire,87783423,Occitanie,12,2018-02-07T01:00:00+00:00,"{""coordinates"": [2.9835195763119633, 44.06606436703603], ""type"": ""Point""}",44.06606436703603, 2.9835195763119633
75,2266,Gare de voyageurs et de fret,Bram,gare avec accueil du public,87615054,Occitanie,11,2018-02-07T01:00:00+00:00,"{""coordinates"": [2.1186540513292114, 43.24394144176271], ""type"": ""Point""}",43.24394144176271, 2.1186540513292114
76,2273,Gare de voyageurs,Chirac,halte ferroviaire,87783290,Occitanie,48,2018-02-07T01:00:00+00:00,"{""coordinates"": [3.2639054184472056, 44.523855566948804], ""type"": ""Point""}",44.523855566948804, 3.2639054184472056
78,2377,Gare de voyageurs,Frontignan,gare avec accueil du public,87773556,Occitanie,34,2018-02-07T01:00:00+00:00,"{""coordinates"": [3.758866903191859, 43.444564123961854], ""type"": ""Point""}",43.444564123961854, 3.758866903191859
86,2408,Gare de voyageurs et de fret,Valence-d'Agen,gare avec accueil du public,87611863,Occitanie,82,2018-02-07T01:00:00+00:00,"{""coordinates"": [0.8920724469064001, 44.111764788199494], ""type"": ""Point""}",44.111764788199494, 0.8920724469064001
88,2416,Gare de voyageurs,Barjac,halte ferroviaire,87783563,Occitanie,48,2018-02-07T01:00:00+00:00,"{""coordinates"": [3.4104915094480113, 44.49954978345968], ""type"": ""Point""}",44.49954978345968, 3.4104915094480113
90,2537,Gare de voyageurs,Venerque-Le-Vernet,halte ferroviaire,87611392,Occitanie,31,2018-02-07T01:00:00+00:00,"{""coordinates"": [1.4258783250204226, 43.433725162012834], ""type"": ""Point""}",43.433725162012834, 1.4258783250204226
97,2568,Gare de voyageurs,Sainte-Cécile-d'Andorge,halte ferroviaire,87775239,Occitanie,30,2018-02-07T01:00:00+00:00,"{""coordinates"": [3.975767415074997, 44.255730296488004], ""type"": ""Point""}",44.255730296488004, 3.975767415074997
110,2595,Gare de voyageurs,La Bastide-Saint-Laurent,halte ferroviaire,87775171,Occitanie,48,2018-02-07T01:00:00+00:00,"{""coordinates"": [3.904109741552068, 44.593488308184824], ""type"": ""Point""}",44.593488308184824, 3.904109741552068
111,2720,Gare de voyageurs,Err,halte ferroviaire,87784843,Occitanie,66,2018-02-07T01:00:00+00:00,"{""coordinates"": [2.028510938024677, 42.44321114660124], ""type"": ""Point""}",42.44321114660124, 2.028510938024677
313,,,Aramon,,87765883,Occitanie,30,2024-12-20T01:00:00+00:00,"{""coordinates"": [4.685959999784254, 43.8951000001334], ""type"": ""Point""}",43.8951000001334, 4.685959999784254
123,2770,Gare de voyageurs et de fret,Caussade,gare avec accueil du public,87613356,Occitanie,82,2018-02-07T01:00:00+00:00,"{""coordinates"": [1.533511382592001, 44.16240864284834], ""type"": ""Point""}",44.16240864284834, 1.533511382592001
124,2774,Gare de voyageurs,Le Bruel,halte ferroviaire,87783548,Occitanie,48,2018-02-07T01:00:00+00:00,"{""coordinates"": [3.3584251521508706, 44.481303687755094], ""type"": ""Point""}",44.481303687755094, 3.3584251521508706
138,3039,Gare de voyageurs et de fret,Castres,gare avec accueil du public,87615468,Occitanie,81,2018-02-07T01:00:00+00:00,"{""coordinates"": [2.2310468731445856, 43.59906497171375], ""type"": ""Point""}",43.59906497171375, 2.2310468731445856
