CODE_UIC,LIBELLE,FRET,VOYAGEURS,CODE_LIGNE,RG_TRONCON,PK,COMMUNE,DEPARTEMEN,IDRESEAU,IDGAIA,X_L93,Y_L93,X_WGS84,Y_WGS84,C_GEO,Geo Point,Geo Shape
87775114,Vergäze-Codognan,O,O,810000,1,043+423,VERGEZE,GARD,7149,d992c566-6667-11e3-89ff-01f464e0362d,798222.9742999971,6294175.457699999,4.219113329716423,43.73977946287461,"43.73977946287461, 4.219113329716423","43.73977946285169, 4.219113329716424","{""coordinates"": [4.219113329716424, 43.73977946285169], ""type"": ""Point""}"
87613356,Caussade,O,O,590000,2,640+011,CAUSSADE,TARN-ET-GARONNE,3518,d9a26042-6667-11e3-89ff-01f464e0362d,582680.9682999998,6341342.961300001,1.533047244838831,44.16128580816961,"44.16128580816961, 1.5330472448388313","44.16128580814777, 1.5330472448388301","{""coordinates"": [1.53304724483883, 44.16128580814777], ""type"": ""Point""}"
87784207,Elne,N,O,680000,1,481+198,ELNE,PYRENEES-ORIENTALES,4035,d99e23da-6667-11e3-89ff-01f464e0362d,696985.9051000029,6166409.1532000005,2.963323638197445,42.59738878190676,"42.59738878190676, 2.963323638197445","42.597388781881214, 2.9633236381974446","{""coordinates"": [2.963323638197445, 42.597388781881214], ""type"": ""Point""}"
87688887,Montpellier Sud-de-France,N,O,834000,1,081+678,LATTES,HERAULT,172483,aaabd416-1033-11e7-afff-010064e0362d,773793.2866000012,6277264.2711,3.913503031859993,43.59059396781462,"43.59059396781462, 3.913503031859993","43.59059396779133, 3.9135030318599937","{""coordinates"": [3.913503031859994, 43.59059396779133], ""type"": ""Point""}"
87773531,Vic-Mireval,N,O,810000,1,090+634,VIC-LA-GARDIOLE,HERAULT,9482,d9ac537c-6667-11e3-89ff-01f464e0362d,764687.0700000003,6267182.192899998,3.799519790518108,43.500776527296345,"43.500776527296345, 3.7995197905181075","43.50077652727285, 3.7995197905181075","{""coordinates"": [3.799519790518108, 43.50077652727285], ""type"": ""Point""}"
87784256,Collioure,N,O,677000,1,494+669,COLLIOURE,PYRENEES-ORIENTALES,3768,d99bc330-6667-11e3-89ff-01f464e0362d,706434.5520000011,6158555.885299999,3.078202792729514,42.52676701474552,"42.52676701474552, 3.0782027927295137","42.526767014719844, 3.0782027927295137","{""coordinates"": [3.078202792729514, 42.526767014719844], ""type"": ""Point""}"
87775882,St-Gilles-du-Gard,O,N,820000,1,017+186,SAINT-GILLES,GARD,6492,d99f51c4-6667-11e3-89ff-01f464e0362d,815500.9786999971,6286819.829599999,4.431863732269444,43.67099106868398,"43.67099106868398, 4.431863732269444","43.67099106866092, 4.431863732269445","{""coordinates"": [4.431863732269445, 43.67099106866092], ""type"": ""Point""}"
87783308,Le Monastier,N,O,722000,1,615+161,BOURGS SUR COLAGNE,LOZERE,4969,d9e429e6-6667-11e3-89ff-01f464e0362d,720049.1476999968,6378903.397700001,3.252222124005448,44.50890669463762,"44.50890669463762, 3.2522221240054483","44.50890669461671, 3.2522221240054483","{""coordinates"": [3.252222124005448, 44.50890669461671], ""type"": ""Point""}"
87615054,Bram,O,O,640000,1,327+146,BRAM,AUDE,3360,e196daf2-19bf-11e5-a6ff-01fc64e0362d,628503.5394999981,6238681.432,2.120248655746591,43.24374242931478,"43.24374242931478, 2.1202486557465905","43.24374242929066, 2.1202486557465905","{""coordinates"": [2.12024865574659, 43.24374242929066], ""type"": ""Point""}"
87775072,St-CÇsaire,O,O,810000,1,030+919,NIMES,GARD,9493,d96e1394-6667-11e3-89ff-01f464e0362d,806854.298299998,6302513.265799999,4.327963542425942,43.81354643785989,"43.81354643785989, 4.327963542425942","43.81354643783717, 4.327963542425942","{""coordinates"": [4.327963542425942, 43.81354643783717], ""type"": ""Point""}"
87775221,Chamborigaud,N,O,790000,1,647+052,CHAMBORIGAUD,GARD,3576,d9cffa76-6667-11e3-89ff-01f464e0362d,778140.4658000022,6356184.454799999,3.979429869919518,44.30032167784233,"44.30032167784233, 3.9794298699195183","44.30032167782085, 3.979429869919519","{""coordinates"": [3.979429869919519, 44.30032167782085], ""type"": ""Point""}"
87618058,Pommevic,N,O,640000,1,164+700,POMMEVIC,TARN-ET-GARONNE,6048,e1b0a67c-19bf-11e5-a6ff-01fc64e0362d,534420.1281000003,6335871.914900001,0.931623064334532,44.102332049703115,"44.102332049703115, 0.9316230643345315","44.10233204968114, 0.9316230643345299","{""coordinates"": [0.93162306433453, 44.10233204968114], ""type"": ""Point""}"
87611244,Montauban-Ville-Bourbon,O,O,640000,1,205+934,MONTAUBAN,TARN-ET-GARONNE,5576,d9a1e824-6667-11e3-89ff-01f464e0362d,566991.0515000001,6325307.610199999,1.341127241507155,44.014195331668475,"44.014195331668475, 1.3411272415071545","44.014195331646256, 1.3411272415071536","{""coordinates"": [1.341127241507154, 44.014195331646256], ""type"": ""Point""}"
87775825,Le Cailar,N,O,819000,1,024+462,LE CAILAR,GARD,4916,d9c2f504-6667-11e3-89ff-01f464e0362d,799594.4073999971,6287916.745099999,4.234917595726394,43.68327665310768,"43.68327665310768, 4.234917595726394","43.683276653084626, 4.234917595726394","{""coordinates"": [4.234917595726394, 43.683276653084626], ""type"": ""Point""}"
87773200,Säte,O,O,810000,1,104+530,SETE,HERAULT,9480,d94ed95c-6667-11e3-89ff-01f464e0362d,756447.2854999974,6257324.807300001,3.696608504888423,43.41279860027326,"43.41279860027326, 3.696608504888423","43.41279860024956, 3.696608504888424","{""coordinates"": [3.696608504888424, 43.41279860024956], ""type"": ""Point""}"
