Parcours;Nombre de voyages;Poids de voyages;Nombre d'abonnements
MONTPELLIER SAINT-ROCH - NIMES;877021,6671;0,035346842;13 720
MONTPELLIER SAINT-ROCH - SETE;818933,9003;0,033005715;11 520
LUNEL - MONTPELLIER SAINT-ROCH;673452,8592;0,027142353;12 622
MONTAUBAN - TOULOUSE MATABIAU;639589,0071;0,025777529;9 177
BEZIERS - MONTPELLIER SAINT-ROCH;518185,2582;0,020884561;6 676
FRONTIGNAN - MONTPELLIER SAINT-ROCH;450474,4626;0,018155594;8 932
MURET - TOULOUSE MATABIAU;443777,2049;0,017885673;5 165
SAINT-SULPICE - TOULOUSE MATABIAU;417258,7283;0,016816892;8 491
ALBI - TOULOUSE MATABIAU;399971,9201;0,016120177;2 414
ALES - NIMES;366696,0846;0,014779052;3 768
BAILLARGUES - MONTPELLIER SAINT-ROCH;343112,1243;0,013828541;6 391
CARCASSONNE - TOULOUSE MATABIAU;310304,8814;0,012506302;2 338
AGDE - MONTPELLIER SAINT-ROCH;309633,1134;0,012479227;3 966
MURET - SAINT-AGNE;304232,3194;0,012261558;5 651
CASTELNAU D'ESTRETEFONDS - TOULOUSE MATABIAU;286423,4548;0,011543802;4 947
NARBONNE - PERPIGNAN;225475,0163;0,009087381;737
MONTPELLIER SAINT-ROCH - VERGÈZE - CODOGNAN;221053,5827;0,008909182;4 498
MONTPELLIER SAINT-ROCH - NARBONNE;209074,9607;0,008426405;1 764
AVIGNON CENTRE - NIMES;206838,8272;0,008336281;1 478
AVIGNON CENTRE - MONTPELLIER SAINT-ROCH;206215,1572;0,008311145;919
NIMES - VERGÈZE - CODOGNAN;199300,0914;0,008032446;3 195
NARBONNE - TOULOUSE MATABIAU;197339,5587;0,00795343;491
SAINT-JORY - TOULOUSE MATABIAU;192781,2093;0,007769713;2 924
GAILLAC - TOULOUSE MATABIAU;190829,0462;0,007691035;2 553
PAMIERS - TOULOUSE MATABIAU;175978,1819;0,007092496;1 538
MONTPELLIER SAINT-ROCH - PERPIGNAN;171791,2836;0,006923751;704
LUNEL - NIMES;168947,4253;0,006809134;2 906
AGEN - TOULOUSE MATABIAU;168431,7799;0,006788352;890
LE GRAU DU ROI - NIMES;165009,5291;0,006650424;45
NIMES - SAINT-GENIÈS-DE-MALGOIRÈS;162326,261;0,006542279;3 481
AUTERIVE - TOULOUSE MATABIAU;162149,1401;0,006535141;2 612
RABASTENS - COUFOULEUX - TOULOUSE MATABIAU;161095,3923;0,006492671;3 127
TOULOUSE MATABIAU - VILLEFRANCHE DE LAURAGAIS;160072,323;0,006451438;2 524
TARBES - TOULOUSE MATABIAU;157411,3364;0,006344192;491
CAHORS - TOULOUSE MATABIAU;156686,1361;0,006314964;882
CASTELNAUDARY - TOULOUSE MATABIAU;152465,7378;0,006144868;2 143
PERPIGNAN - TOULOUSE MATABIAU;149250,9656;0,006015302;315
BEZIERS - NARBONNE;149056,4607;0,006007463;1 832
MONTASTRUC LA CONSEILLERE - TOULOUSE MATABIAU;147711,466;0,005953255;2 917
SAINT-GAUDENS - TOULOUSE MATABIAU;139721,8387;0,005631247;1 237
CARBONNE - TOULOUSE MATABIAU;139008,0361;0,005602479;2 168
BAILLARGUES - NIMES;137700,3528;0,005549775;3 028
PERPIGNAN - VILLEFRANCHE VERNET LES BAINS;127827,9686;0,005151885;25
FOIX - TOULOUSE MATABIAU;127628,6693;0,005143853;752
BOUSSENS - TOULOUSE MATABIAU;123340,8169;0,004971038;1 078
CARCASSONNE - NARBONNE;118723,9789;0,004784965;1 201
AUCH - TOULOUSE MATABIAU;117518,9503;0,004736398;528
RODEZ - TOULOUSE MATABIAU;113919,508;0,004591329;240
NIMES - NIMES PONT DU GARD;112887,6907;0,004549743;595
LAVAUR - TOULOUSE MATABIAU;110379,3137;0,004448647;1 703
CASTRES - TOULOUSE MATABIAU;108653,4121;0,004379088;529
MONTPELLIER SAINT-ROCH - TOULOUSE MATABIAU;100548,4915;0,004052433;526
LABEGE INNOPOLE - TOULOUSE MATABIAU;99934,68788;0,004027695;1 527
GRISOLLES - TOULOUSE MATABIAU;99575,70771;0,004013227;1 879
AGDE - BEZIERS;97909,4318;0,00394607;1 088
DIEUPENTALE - TOULOUSE MATABIAU;96462,83768;0,003887768;1 871
TOULOUSE MATABIAU - VENERQUE - LE VERNET;96220,93745;0,003878019;1 679
PORTET SAINT-SIMON - TOULOUSE MATABIAU;92013,1953;0,003708433;1 386
CAZÈRES - TOULOUSE MATABIAU;88584,95133;0,003570263;1 002
MARSEILLE ST CHARLES - MONTPELLIER SAINT-ROCH;84852,49288;0,003419833;290
BEZIERS - SETE;80534,07984;0,003245787;1 493
L'ISLE JOURDAIN - TOULOUSE MATABIAU;79718,71334;0,003212925;895
PORTET SAINT-SIMON - SAINT-AGNE;78632,67967;0,003169154;1 609
AUTERIVE - SAINT-AGNE;74686,20555;0,003010098;1 391
MONTRÉJEAU - GOURDAN-POLIGNAN - TOULOUSE MATABIAU;74434,81781;0,002999967;531
CARCASSONNE - CASTELNAUDARY;73937,07401;0,002979906;791
AGDE - SETE;72824,5917;0,002935069;1 209
CARBONNE - SAINT-AGNE;71682,55135;0,002889041;1 196
BRAX - LÉGUEVIN - SAINT-CYPRIEN ARÈNES;70455,68664;0,002839595;1 357
MOISSAC - TOULOUSE MATABIAU;70366,14754;0,002835986;578
LISLE SUR TARN - TOULOUSE MATABIAU;70037,23216;0,00282273;1 380
MONT LOUIS LA CABANASSE - VILLEFRANCHE VERNET LES BAINS;68583,5;0,002764139;0
CAUSSADE - TOULOUSE MATABIAU;68497,83234;0,002760687;783
BAZIEGE - TOULOUSE MATABIAU;67838,68449;0,002734121;1 026
MONTBARTIER - TOULOUSE MATABIAU;67518,16563;0,002721203;1 188
CASTELSARRASIN - TOULOUSE MATABIAU;65222,10661;0,002628664;615
ARGELES SUR MER - PERPIGNAN;62883,92286;0,002534428;391
L'ISLE JOURDAIN - SAINT-CYPRIEN ARÈNES;62763,629;0,00252958;1 181
LÉZIGNAN (AUDE) - NARBONNE;62692,35371;0,002526707;411
PAU - TOULOUSE MATABIAU;61865,31704;0,002493375;181
MONTPELLIER SAINT-ROCH - VIC - MIREVAL;60767,43609;0,002449126;1 260
NARBONNE - PORT LA NOUVELLE;60034,52488;0,002419588;608
SAVERDUN - TOULOUSE MATABIAU;59597,79243;0,002401986;936
LONGAGES - NOÉ - TOULOUSE MATABIAU;59542,64491;0,002399763;997
COLLIOURE - PERPIGNAN;57975,3322;0,002336596;142
MARSEILLE ST CHARLES - NIMES;57627,18841;0,002322564;336
ALBI MADELEINE - TOULOUSE MATABIAU;56822,48645;0,002290132;495
PINS JUSTARET - TOULOUSE MATABIAU;55899,94865;0,002252951;885
BRIVE LA GAILLARDE - TOULOUSE MATABIAU;55549,72013;0,002238835;80
LOURDES - TOULOUSE MATABIAU;55276,12317;0,002227809;89
AX LES THERMES - TOULOUSE MATABIAU;52014,48916;0,002096354;47
ALES - MONTPELLIER SAINT-ROCH;51769,13569;0,002086466;436
SAINT-AGNE - VENERQUE - LE VERNET;50097,92008;0,00201911;907
TOULOUSE MATABIAU - VILLEFRANCHE DE ROUERGUE;49563,08464;0,001997554;31
FONT ROMEU ODEILLO VIA - VILLEFRANCHE VERNET LES BAINS;49324,80001;0,001987951;0
CAHORS - MONTAUBAN;48313,21745;0,001947181;386
NIMES - TARASCON;47264,38447;0,001904909;581
CINTEGABELLE - TOULOUSE MATABIAU;46823,46179;0,001887139;918
COLOMIERS LYCEE INTERNATIONAL - SAINT-CYPRIEN ARÈNES;45077,9987;0,001816791;798
BRAM - TOULOUSE MATABIAU;44830,75278;0,001806826;461
NIMES - SETE;43409,1135;0,001749529;424
BEZIERS - NIMES;43325,59378;0,001746163;296
CARMAUX - TOULOUSE MATABIAU;43119,46636;0,001737856;197
ALBI - CARMAUX;41919,33387;0,001689486;597
MAZAMET - TOULOUSE MATABIAU;41665,53865;0,001679257;187
MONTPELLIER SAINT-ROCH - NIMES PONT DU GARD;41493,065;0,001672306;351
NARBONNE - SETE;41417,00696;0,001669241;244
FOIX - PAMIERS;41119,41978;0,001657247;595
PERPIGNAN - RIVESALTES;41038,15566;0,001653972;540
LACOURTENSOURT - TOULOUSE MATABIAU;40693,89685;0,001640097;866
BANYULS SUR MER - PERPIGNAN;40623,72498;0,001637269;268
LEUCATE LA FRANQUI - NARBONNE;39974,18089;0,00161109;225
MONTPELLIER SAINT-ROCH - VILLENEUVE LES MAGUELONNE;39967,3818;0,001610816;597
LANNEMEZAN - TOULOUSE MATABIAU;39896,44215;0,001607957;222
BRAM - CARCASSONNE;39043,92988;0,001573598;446
CAPDENAC - TOULOUSE MATABIAU;38667,18235;0,001558414;34
COLOMIERS - TOULOUSE MATABIAU;38617,26697;0,001556402;197
PAMIERS - SAINT-AGNE;38176,01438;0,001538618;503
CAPDENAC - FIGEAC;37974,6796;0,001530504;201
BRAX - LÉGUEVIN - TOULOUSE MATABIAU;37861,52922;0,001525943;487
AGEN - MONTAUBAN;37693,87244;0,001519186;349
COLOMIERS - SAINT-CYPRIEN ARÈNES;37288,97844;0,001502868;495
ESCALQUENS - TOULOUSE MATABIAU;37144,56836;0,001497048;628
PIBRAC - SAINT-CYPRIEN ARÈNES;37067,29985;0,001493933;653
BEZIERS - SAINT-CHÉLY-D'APCHER;36820,2954;0,001483978;17
COLOMIERS - SAINT-AGNE;36467,78669;0,001469771;516
FAUGA - TOULOUSE MATABIAU;36408,71399;0,00146739;569
ARLES - NIMES;36034,79715;0,00145232;196
CARCASSONNE - QUILLAN;35275,50138;0,001421718;27
COLOMIERS - L'ISLE JOURDAIN;34332,57875;0,001383715;744
MONTRABE - TOULOUSE MATABIAU;34277,06488;0,001381478;818
AUCH - SAINT-CYPRIEN ARÈNES;33578,34016;0,001353317;173
LOURDES - PAU;33442,73128;0,001347851;130
BEZIERS - PERPIGNAN;33360,2989;0,001344529;196
CARCASSONNE - LÉZIGNAN (AUDE);33115,2602;0,001334653;439
L'ISLE JOURDAIN - SAINT-AGNE;32983,04049;0,001329324;654
CAUSSADE - MONTAUBAN;32750,95111;0,00131997;343
CAHORS - GOURDON;32498,53513;0,001309797;630
FOIX - SAINT-AGNE;32349,63224;0,001303796;262
PINS JUSTARET - SAINT-AGNE;31851,56155;0,001283722;614
TARASCON SUR ARIEGE - TOULOUSE MATABIAU;31761,31729;0,001280085;174
MONTPELLIER SAINT-ROCH - TARASCON;31625,15413;0,001274597;176
BEZIERS - TOULOUSE MATABIAU;31420,33953;0,001266342;125
LATOUR DE CAROL ENVEITG - TOULOUSE MATABIAU;30986,78785;0,001248869;150
GAILLAC - SAINT-SULPICE;30515,68962;0,001229882;277
LANNEMEZAN - TARBES;30502,63307;0,001229356;266
FAUGA - SAINT-AGNE;30477,84738;0,001228357;667
AVIGNON CENTRE - NIMES PONT DU GARD;30464,58581;0,001227822;164
FRONTIGNAN - SETE;30109,08805;0,001213495;346
TOULOUSE MATABIAU - VALENCE D'AGEN;30104,68563;0,001213317;272
AGEN - VALENCE D'AGEN;29946,60649;0,001206946;300
AVIGNON CENTRE - BAGNOLS SUR CEZE;29841,29238;0,001202702;139
CARCASSONNE - MONTPELLIER SAINT-ROCH;29834,36871;0,001202423;233
MOISSAC - MONTAUBAN;29625,74486;0,001194014;203
PIBRAC - TOULOUSE MATABIAU;29070,14319;0,001171622;334
BRIVE LA GAILLARDE - RODEZ;28993,99999;0,001168553;0
NIMES - PERPIGNAN;28756,59249;0,001158985;133
BOUSSENS - SAINT-AGNE;28530,676;0,00114988;455
CARCASSONNE - PERPIGNAN;28406,45386;0,001144873;124
LÉZIGNAN (AUDE) - TOULOUSE MATABIAU;28359,48902;0,00114298;87
LONGAGES - NOÉ - SAINT-AGNE;28330,65123;0,001141818;498
FIGEAC - TOULOUSE MATABIAU;28290,58328;0,001140203;52
SAINT-AGNE - TOULOUSE MATABIAU;28145,90946;0,001134372;83
NIMES - TOULOUSE MATABIAU;28032,68271;0,001129809;167
BAILLARGUES - LUNEL;27746,36454;0,001118269;443
AUCH - L'ISLE JOURDAIN;27443,43404;0,00110606;368
ARLES - MONTPELLIER SAINT-ROCH;27263,58755;0,001098812;152
BAILLARGUES - SETE;27044,6016;0,001089986;638
PAU - TARBES;26953,05037;0,001086296;185
FONS - SAINT-MAMERT - NIMES;26551,23637;0,001070102;592
ALBI - GAILLAC;26479,20806;0,001067199;245
CAZÈRES - SAINT-AGNE;26436,72799;0,001065487;380
NARBONNE - RIVESALTES;26339,2197;0,001061557;316
CARBONNE - MURET;26236,95994;0,001057435;365
MONTPELLIER SAINT-ROCH - SAINT-CÉSAIRE;26097,60496;0,001051819;527
NARBONNE - NIMES;25846,31344;0,001041691;146
LEUCATE LA FRANQUI - TOULOUSE MATABIAU;25311,5;0,001020136;0
MARSEILLE ST CHARLES - NIMES PONT DU GARD;25070,84298;0,001010437;57
GOURDON - TOULOUSE MATABIAU;24992,4837;0,001007279;137
AGDE - NARBONNE;24985,32177;0,00100699;248
SAINT-AGNE - SAINT-GAUDENS;24949,44387;0,001005544;276
BRIVE LA GAILLARDE - FIGEAC;24666,6;0,000994145;0
ARGELES SUR MER - COLLIOURE;24445,24438;0,000985223;19
BEZIERS - FRONTIGNAN;23678,07924;0,000954304;452
MONTPELLIER SAINT-ROCH - VITROLLES AEROPORT MARSEILLE;23485,49653;0,000946542;23
ALES - SAINT-GENIÈS-DE-MALGOIRÈS;23356,49081;0,000941343;384
COLOMIERS LYCEE INTERNATIONAL - TOULOUSE MATABIAU;23331,79758;0,000940348;334
COLOMIERS LYCEE INTERNATIONAL - SAINT-AGNE;22943,95652;0,000924716;417
BRAX - LÉGUEVIN - COLOMIERS;22925,59511;0,000923976;398
SOUILLAC - TOULOUSE MATABIAU;22872,76243;0,000921847;84
CASTELSARRASIN - MONTAUBAN;22825,60126;0,000919946;113
PAMIERS - SAVERDUN;22664,52;0,000913454;302
CAZÈRES - MURET;22336,56259;0,000900237;323
ELNE - PERPIGNAN;22329,17352;0,000899939;249
BAILLARGUES - BEZIERS;22180,75169;0,000893957;489
BEAUCAIRE - NIMES;22149,34003;0,000892691;178
TOULOUSE MATABIAU - VARILHES;21652,57893;0,00087267;179
SAINT-AGNE - SAVERDUN;21620,02344;0,000871358;428
CASTELNAUDARY - LABEGE INNOPOLE;21571,02128;0,000869383;596
ARGELES SUR MER - NARBONNE;21543,0463;0,000868255;50
BEDARIEUX - BEZIERS;21542,79337;0,000868245;17
LALBENQUE FONTANES - TOULOUSE MATABIAU;21265,63375;0,000857075;247
GRAGNAGUE - TOULOUSE MATABIAU;21148,50037;0,000852354;433
AGDE - NIMES;20881,95519;0,000841611;168
GIMONT CAHUZAC - TOULOUSE MATABIAU;20879,52334;0,000841513;159
LABEGE INNOPOLE - VILLEFRANCHE DE LAURAGAIS;20838,58358;0,000839863;394
MURET - PORTET SAINT-SIMON;20729,03475;0,000835448;280
BRAX - LÉGUEVIN - SAINT-AGNE;20706,40624;0,000834536;352
CINTEGABELLE - SAINT-AGNE;20657,52645;0,000832566;404
PERPIGNAN - PRADES MOLITG LES BAINS;20528,29472;0,000827357;21
CERBERE - PERPIGNAN;20212,80455;0,000814642;70
MURET - SAINT-GAUDENS;20169,91067;0,000812913;273
CASTELNAU D'ESTRETEFONDS - MONTAUBAN;20137,78467;0,000811619;168
FRONTIGNAN - NIMES;20037,8206;0,00080759;377
AUCH - SAINT-AGNE;20009,03761;0,00080643;170
LOURDES - TARBES;19069,71828;0,000768572;112
DAMIATTE ST PAUL - TOULOUSE MATABIAU;19012,8541;0,00076628;342
MONTPELLIER SAINT-ROCH - VALERGUES - LANSARGUES;18946,1352;0,000763591;404
AVIGNONET - TOULOUSE MATABIAU;18802,44914;0,0007578;298
NIMES - VAUVERT;18595,48714;0,000749459;49
AVIGNON CENTRE - NARBONNE;18563,13457;0,000748155;15
PERPIGNAN - SALSES;18530,02678;0,000746821;143
ALBI - RODEZ;18395,591;0,000741402;98
CAHORS - CAUSSADE;18216,22544;0,000734173;252
AVIGNON CENTRE - PERPIGNAN;18182,08848;0,000732798;72
AVIGNON TGV - MONTPELLIER SAINT-ROCH;17959,40654;0,000723823;2
AUTERIVE - PAMIERS;17680,07034;0,000712565;228
LUNEL - SETE;17572,06371;0,000708212;330
PERPIGNAN - PORT VENDRES VILLE;16985,46344;0,00068457;63
AUTERIVE - PORTET SAINT-SIMON;16653,50087;0,000671191;340
AGEN - MOISSAC;16604,89007;0,000669231;150
AVIGNON CENTRE - SETE;16487,59538;0,000664504;47
ALBIAS - TOULOUSE MATABIAU;16271,29422;0,000655786;274
PERPIGNAN - PORT LA NOUVELLE;16245,5141;0,000654747;235
COLOMIERS LYCEE INTERNATIONAL - L'ISLE JOURDAIN;16152,04806;0,00065098;211
BEZIERS - CARCASSONNE;16052,1002;0,000646952;210
LATOUR DE CAROL ENVEITG - VILLEFRANCHE VERNET LES BAINS;15918,49998;0,000641568;0
CASTELNAUDARY - NARBONNE;15887,54559;0,00064032;128
SETE - TOULOUSE MATABIAU;15887,02139;0,000640299;20
AUCH - GIMONT CAHUZAC;15858,15152;0,000639135;247
LAVILLEDIEU - TOULOUSE MATABIAU;15755,02333;0,000634979;220
CAHORS - SOUILLAC;15699,19313;0,000632729;271
MONTPELLIER SAINT-ROCH - RIVESALTES;15560,49209;0,000627139;67
LEUCATE LA FRANQUI - PERPIGNAN;15387,03495;0,000620148;123
AGDE - TOULOUSE MATABIAU;15106,04096;0,000608823;31
NIMES - VITROLLES AEROPORT MARSEILLE;15062,57515;0,000607071;119
NIMES PONT DU GARD - PERPIGNAN;15020,38601;0,000605371;14
AVIGNON CENTRE - TOULOUSE MATABIAU;14993,58371;0,00060429;137
AVIGNON CENTRE - BEZIERS;14963,65987;0,000603084;3
ARGELES SUR MER - MONTPELLIER SAINT-ROCH;14951,77859;0,000602606;55
BORDEAUX ST JEAN - TOULOUSE MATABIAU;14948;0,000602453;0
MONTAUDRAN - TOULOUSE MATABIAU;14685,97611;0,000591893;120
FOIX - TARASCON SUR ARIEGE;14507,1616;0,000584686;151
PORT LA NOUVELLE - TOULOUSE MATABIAU;14347,06101;0,000578233;13
BEZIERS - NIMES PONT DU GARD;14273,40596;0,000575265;30
MONTRÉJEAU - GOURDAN-POLIGNAN - SAINT-GAUDENS;14211,56755;0,000572773;213
PERPIGNAN - PORT BOU FRONTIERE;14128,4708;0,000569424;13
TOULOUSE MATABIAU - VILLENOUVELLE;14026,66966;0,000565321;211
MARTRES TOLOSANE - TOULOUSE MATABIAU;13678,06889;0,000551271;130
SAINT-AGNE - TARBES;13589,64092;0,000547707;55
CARCASSONNE - LIMOUX;13546,71022;0,000545977;19
MONTAUBAN - VALENCE D'AGEN;13521,3779;0,000544956;182
BEZIERS - MARSEILLE ST CHARLES;13516,59854;0,000544763;41
TOULOUSE MATABIAU - TOURNAY;13494,26215;0,000543863;55
CASTELNAUDARY - VILLEFRANCHE DE LAURAGAIS;13338,89494;0,000537601;209
SAINT-GAUDENS - TARBES;13334,10883;0,000537408;144
COLLIOURE - TOULOUSE MATABIAU;13306,1998;0,000536283;1
AVIGNON TGV - NIMES;13216,22608;0,000532657;5
MONTAUDRAN - VILLEFRANCHE DE LAURAGAIS;13169,12683;0,000530759;269
AUTERIVE - PINS JUSTARET;13151,43135;0,000530046;116
LES CAUQUILLOUS - TOULOUSE MATABIAU;13148,21015;0,000529916;252
NIMES - NOZIÈRES - BRIGNON;13028,44509;0,000525089;160
COLLIOURE - NARBONNE;12983;0,000523257;0
BRETENOUX BIARS - BRIVE LA GAILLARDE;12953,725;0,000522077;10
BOUSSENS - MURET;12925,09304;0,000520924;178
MONTAUBAN - SAINT-JORY;12820,11335;0,000516693;115
PIBRAC - SAINT-AGNE;12809,93746;0,000516282;214
ARGELES SUR MER - TOULOUSE MATABIAU;12802,29546;0,000515974;22
MONTPELLIER SAINT-ROCH - TOULON;12802,28974;0,000515974;4
CORDES VINDRAC - TOULOUSE MATABIAU;12744,94306;0,000513663;64
ALES - GENOLHAC;12703,49484;0,000511992;238
AUCH - COLOMIERS;12666,446;0,000510499;128
ALBI - RABASTENS - COUFOULEUX;12534,82474;0,000505194;167
AGEN - CASTELSARRASIN;12529,82868;0,000504993;70
MIRAMAS - MONTPELLIER SAINT-ROCH;12518,18045;0,000504524;15
BRAX - LÉGUEVIN - COLOMIERS LYCEE INTERNATIONAL;12374,08151;0,000498716;108
AURILLAC - TOULOUSE MATABIAU;12247,66855;0,000493621;0
NAUCELLE - RODEZ;12188,86389;0,000491251;119
ALES - GRAND COMBE LA PISE;12118,66638;0,000488422;65
CARBONNE - PORTET SAINT-SIMON;12089,01944;0,000487227;309
COLOMIERS - PIBRAC;12087,0378;0,000487147;172
LUNEL - NIMES PONT DU GARD;12082,89506;0,00048698;7
LEUCATE LA FRANQUI - MONTPELLIER SAINT-ROCH;11915,58086;0,000480237;102
MONTRÉJEAU - GOURDAN-POLIGNAN - TARBES;11914,48526;0,000480193;94
CARCASSONNE - VILLEFRANCHE DE LAURAGAIS;11873,13957;0,000478526;165
AX LES THERMES - FOIX;11863,83526;0,000478151;75
LEXOS - TOULOUSE MATABIAU;11835,33235;0,000477003;70
MIRAMAS - NIMES;11775,74255;0,000474601;21
PERPIGNAN - SETE;11767,08423;0,000474252;34
BEAUVOISIN - NIMES;11763,07398;0,00047409;41
TOULOUSE MATABIAU - VIELMUR SUR AGOUT;11735,55398;0,000472981;38
DIEUPENTALE - MONTAUBAN;11733,74587;0,000472908;158
BAILLARGUES - VERGÈZE - CODOGNAN;11691,72644;0,000471215;267
LUNEL - VERGÈZE - CODOGNAN;11654,65562;0,000469721;206
CAZÈRES - SAINT-GAUDENS;11542,44523;0,000465198;178
NARBONNE - NIMES PONT DU GARD;11482,30886;0,000462775;4
BEZIERS - LUNEL;11272,90616;0,000454335;136
MONTRÉJEAU - GOURDAN-POLIGNAN - SAINT-AGNE;11254,82563;0,000453606;76
ALBI - SAINT-SULPICE;11195,89849;0,000451231;123
COLLIOURE - ELNE;11181,2642;0,000450642;8
FOIX - SAVERDUN;11071,99383;0,000446238;207
PAMIERS - PORTET SAINT-SIMON;11045,32466;0,000445163;204
AVIGNON CENTRE - PONT SAINT ESPRIT;11015,95112;0,000443979;44
CLERMONT FERRAND - NIMES;11015,13502;0,000443946;4
ANDORRE - L'HOSPITALET - TOULOUSE MATABIAU;10950,33332;0,000441334;0
MARSEILLE ST CHARLES - SETE;10945,04861;0,000441121;17
