Nom,Trigramme,Segment(s) DRG,Position géographique,Code commune,Code(s) UIC
ABANCOURT,ABT,C,"49.6852237, 1.7743058",60001,87313759
ABBARETZ,AAR,C,"47.5546432, -1.5244159",44001,87481614
ABBEVILLE,ABB,B,"50.10221, 1.82449",80001,87317362
ABLON-SUR-SEINE,ABL,B,"48.725468, 2.419151",94001,87545269
ACHÈRES GRAND CORMIER,GCR,B,"48.9551835, 2.0919031",78551,87386052
ACHÈRES VILLE,ACW,B,"48.97011, 2.07739",78005,87381657
ACHIET-LE-GRAND,ACT,C,"50.1317525, 2.780168",62005,87342048
AÉROPORT CHARLES DE GAULLE 1,RSY,B,"49.00956, 2.56135",93073,87271460
AÉROPORT CHARLES DE GAULLE 2 TGV,RYT,A;A,"49.003652, 2.570892",93073,87001479;87271494
AGAY,AGH,C,"43.4313701, 6.8564997",83118,87757559
AGDE,AGD,B,"43.31728, 3.466203",34003,87781278
AGEN,AGN,A,"44.208311, 0.620932",47001,87586008
AGONAC,AGA,C,"45.2865966, 0.7486706",24002,87595157
AGUILCOURT - VARISCOURT,AGK,C,"49.408017, 3.973137",2761,87171702
AIGREFEUILLE LE THOU,AGR,C,"46.09402, -0.95168",17447,87485193
AIGUEBELETTE-LE-LAC,AGQ,C,"45.5363048, 5.8131468",73001,87741421
AIGUEBELLE,AEB,C,"45.5437225, 6.3067175",73002,87741256
AIGUEPERSE,AGE,C,"46.0147884, 3.1982621",63001,87734129
AIGUES-MORTES,AIM,C,"43.5709008, 4.1912102",30003,87775858
AIGUILLON,AIN,C,"44.2987224, 0.3352388",47004,87586693
AILLEVILLERS,AIP,C,"47.9138876, 6.3372988",70171,87185629
AILLY-SUR-NOYE,ASN,B,"49.75448, 2.36419",80010,87313221
AILLY-SUR-SOMME,AYS,B,"49.92838, 2.20059",80011,87313098
AIMARGUES,AIA,C,"43.6786107, 4.2082933",30006,87775833
AIME - LA PLAGNE,ANJ,C,"45.5544, 6.648646",73006,87741769
AISEREY,ASI,C,"47.170501, 5.1582447",21005,87713636
AIX-EN-PROVENCE,AXP,B,"43.522912, 5.445345",13001,87751404
AIX-EN-PROVENCE TGV,AXV,A,"43.455237, 5.317534",13001,87319012
AIX-LES-BAINS LE REVARD,AIX,B,"45.688161, 5.909371",73008,87741132
AIXE-SUR-VIENNE,ASV,C,"45.7965002, 1.1456892",87001,87592667
ALAÏ,ALA,C,"45.7521198, 4.7717824",69244,87722744
ALBENS,ABN,C,"45.785946, 5.9483418",73010,87746115
ALBERT,ALJ,B,"50.00546, 2.64453",80016,87313072
ALBERTVILLE,ALV,B,"45.672977, 6.383167",73011,87741645
ALBI,ALB,B,"43.92238, 2.137958",81004,87615005
ALBI MADELEINE,ALM,C,"43.938011, 2.1409629",81004,87615195
ALBIAS,ALE,C,"44.0919078, 1.4448012",82002,87613398
ALBIGNY - NEUVILLE,VVN,B,"45.874921, 4.832874",69003,87721266
ALENÇON,ALN,B,"48.433884, 0.098531",61001,87444711
ALÈS,ALS,B,"44.127825, 4.084948",30007,87775288
ALLASSAC,AAA,C,"45.2589385, 1.4731471",19005,87594234
ALLÉE DE LA TOUR RENDEZ-VOUS,AET,B,"48.897109, 2.506475",93057,87113878
ALLENC,AEN,C,"44.541296, 3.6638926",48003,87783654
ALLEYRAS,AES,C,"44.919217, 3.673517",43005,87731885
ALTKIRCH,ALK,B,"47.6270174, 7.2392493",68004,87182238
AMAGNE - LUCQUY,AMA,C,"49.5238187, 4.4738775",8008,87172262
AMBAZAC,ABZ,C,"45.9529056, 1.406501",87002,87592311
AMBÉRIEU-EN-BUGEY,AMB,B,"45.954008, 5.342388",1004,87743716
AMBOISE,AMQ,B,"47.42148, 0.981299",37003,87574343
