"�..Parcours_2023";"Nombre.de.voyages_2023";"Poids.de.voyages_2023";"Nombre.d.abonnements_2023";"Nombre.de.voyages_2024";"Poids.de.voyages_2024";"Nombre.d.abonnements_2024"
"MONTPELLIER SAINT-ROCH - NIMES";3590;"3,0347%";"80";4850;"4,5477%";"59"
"MONTPELLIER SAINT-ROCH - SETE";2742;"2,3176%";"74";3281;"3,0760%";"61"
"ALBI - TOULOUSE MATABIAU";2694;"2,2777%";"12";1374;"1,2884%";"6"
"BEZIERS - MONTPELLIER SAINT-ROCH";2508;"2,1200%";"38";3249;"3,0460%";"32"
"TARBES - TOULOUSE MATABIAU";2442;"2,0640%";"3";606;"0,5681%";"3"
"MONTAUBAN - TOULOUSE MATABIAU";2440;"2,0630%";"45";1536;"1,4405%";"37"
"LUNEL - MONTPELLIER SAINT-ROCH";2207;"1,8658%";"72";2569;"2,4090%";"63"
"ALES - NIMES";2103;"1,7775%";"24";1642;"1,5395%";"18"
"CARCASSONNE - TOULOUSE MATABIAU";2076;"1,7545%";"12";2768;"2,5953%";"9"
"NARBONNE - TOULOUSE MATABIAU";2029;"1,7154%";"3";2163;"2,0283%";"2"
"PERPIGNAN - TOULOUSE MATABIAU";1978;"1,6724%";"2";2406;"2,2562%";"2"
"MONTPELLIER SAINT-ROCH - NARBONNE";1690;"1,4290%";"9";2271;"2,1292%";"7"
"AGEN - TOULOUSE MATABIAU";1667;"1,4089%";"4";1372;"1,2863%";"5"
"AVIGNON CENTRE - MONTPELLIER SAINT-ROCH";1666;"1,4081%";"5";2273;"2,1315%";"4"
"MURET - TOULOUSE MATABIAU";1437;"1,2151%";"29";602;"0,5646%";"21"
"MONTPELLIER SAINT-ROCH - PERPIGNAN";1401;"1,1845%";"4";1709;"1,6027%";"3"
"CAHORS - TOULOUSE MATABIAU";1397;"1,1811%";"5";1465;"1,3737%";"4"
"RODEZ - TOULOUSE MATABIAU";1387;"1,1727%";"1";1124;"1,0542%";"1"
"FRONTIGNAN - MONTPELLIER SAINT-ROCH";1290;"1,0908%";"53";1400;"1,3128%";"46"
"SAINT-SULPICE - TOULOUSE MATABIAU";1140;"0,9633%";"44";487;"0,4569%";"14"
"GAILLAC - TOULOUSE MATABIAU";996;"0,8420%";"14";477;"0,4476%";"10"
"AGDE - MONTPELLIER SAINT-ROCH";996;"0,8417%";"21";1277;"1,1978%";"22"
"CASTRES - TOULOUSE MATABIAU";950;"0,8027%";"3";507;"0,4755%";"3"
"FOIX - TOULOUSE MATABIAU";894;"0,7556%";"3";602;"0,5643%";"3"
"PAMIERS - TOULOUSE MATABIAU";883;"0,7462%";"8";439;"0,4117%";"7"
"BAILLARGUES - MONTPELLIER SAINT-ROCH";865;"0,7310%";"37";989;"0,9277%";"34"
"NARBONNE - PERPIGNAN";857;"0,7243%";"3";579;"0,5433%";"4"
"AVIGNON CENTRE - NIMES";853;"0,7208%";"8";863;"0,8091%";"8"
"MARSEILLE ST CHARLES - MONTPELLIER SAINT-ROCH";830;"0,7013%";"2";371;"0,3483%";"0"
"TOULOUSE MATABIAU - VILLEFRANCHE DE ROUERGUE";822;"0,6953%";"0";608;"0,5705%";"0"
"PAU - TOULOUSE MATABIAU";822;"0,6948%";"1";268;"0,2510%";"1"
"SAINT-GAUDENS - TOULOUSE MATABIAU";812;"0,6863%";"6";427;"0,4004%";"4"
"BRIVE LA GAILLARDE - TOULOUSE MATABIAU";808;"0,6833%";"0";844;"0,7916%";"0"
"MONTPELLIER SAINT-ROCH - TOULOUSE MATABIAU";766;"0,6476%";"3";698;"0,6549%";"3"
"BOUSSENS - TOULOUSE MATABIAU";742;"0,6274%";"5";271;"0,2544%";"4"
"MONTPELLIER SAINT-ROCH - VERGÈZE - CODOGNAN";687;"0,5808%";"25";758;"0,7106%";"17"
"CASTELNAU D'ESTRETEFONDS - TOULOUSE MATABIAU";687;"0,5804%";"27";392;"0,3674%";"11"
"AUCH - TOULOUSE MATABIAU";667;"0,5637%";"3";671;"0,6293%";"3"
"CASTELNAUDARY - TOULOUSE MATABIAU";662;"0,5597%";"10";623;"0,5841%";"10"
"PERPIGNAN - VILLEFRANCHE VERNET LES BAINS";653;"0,5523%";"0";322;"0,3023%";"0"
"FIGEAC - TOULOUSE MATABIAU";583;"0,4932%";"0";550;"0,5161%";"0"
"MURET - SAINT-AGNE";582;"0,4921%";"32";521;"0,4887%";"30"
"AUTERIVE - TOULOUSE MATABIAU";566;"0,4786%";"13";289;"0,2706%";"12"
"AX LES THERMES - TOULOUSE MATABIAU";554;"0,4684%";"0";503;"0,4712%";"0"
"LUNEL - NIMES";551;"0,4661%";"17";520;"0,4873%";"12"
"NIMES - VERGÈZE - CODOGNAN";534;"0,4513%";"19";525;"0,4924%";"11"
"CARBONNE - TOULOUSE MATABIAU";530;"0,4477%";"11";258;"0,2422%";"10"
"TOULOUSE MATABIAU - VILLEFRANCHE DE LAURAGAIS";530;"0,4477%";"14";448;"0,4203%";"13"
"RABASTENS - COUFOULEUX - TOULOUSE MATABIAU";527;"0,4458%";"18";209;"0,1960%";"12"
"CARCASSONNE - NARBONNE";510;"0,4312%";"7";521;"0,4886%";"7"
"LOURDES - TOULOUSE MATABIAU";495;"0,4182%";"0";319;"0,2990%";"1"
"BEZIERS - NARBONNE";493;"0,4169%";"9";568;"0,5327%";"9"
"MARSEILLE ST CHARLES - NIMES";473;"0,3995%";"2";266;"0,2496%";"0"
"CASTELSARRASIN - TOULOUSE MATABIAU";455;"0,3844%";"3";180;"0,1692%";"2"
"NIMES - NIMES PONT DU GARD";448;"0,3790%";"4";244;"0,2292%";"3"
"CAPDENAC - TOULOUSE MATABIAU";442;"0,3737%";"0";398;"0,3736%";"0"
"LAVAUR - TOULOUSE MATABIAU";433;"0,3657%";"9";209;"0,1957%";"7"
"ALBI MADELEINE - TOULOUSE MATABIAU";431;"0,3640%";"3";239;"0,2240%";"2"
"MOISSAC - TOULOUSE MATABIAU";407;"0,3438%";"3";248;"0,2324%";"2"
"LANNEMEZAN - TOULOUSE MATABIAU";406;"0,3432%";"1";146;"0,1371%";"1"
"CAZÈRES - TOULOUSE MATABIAU";406;"0,3431%";"6";149;"0,1399%";"5"
"BEZIERS - NIMES";399;"0,3374%";"2";346;"0,3245%";"1"
"CARMAUX - TOULOUSE MATABIAU";393;"0,3320%";"1";290;"0,2719%";"1"
"NIMES - SAINT-GENIÈS-DE-MALGOIRÈS";381;"0,3222%";"22";481;"0,4514%";"23"
"MONTASTRUC LA CONSEILLERE - TOULOUSE MATABIAU";375;"0,3172%";"17";207;"0,1939%";"12"
"MONTRÉJEAU - GOURDAN-POLIGNAN - TOULOUSE MATABIAU";373;"0,3155%";"2";418;"0,3924%";"2"
"BAILLARGUES - NIMES";373;"0,3151%";"17";353;"0,3312%";"12"
