"Parcours";"Départ";"Arrivée";"Nombre de voyages";"Poids de voyages";"Nombre d'abonnements";"MOIS";"MILLESIME"
"ALBI - TOULOUSE MATABIAU";"ALBI";"TOULOUSE MATABIAU";2330;0,0401661811098278;0;"Janvier";"2023"
"MONTPELLIER SAINT-ROCH - NIMES";"MONTPELLIER SAINT-ROCH";"NIMES";2308;0,0397869296143702;0;"Janvier";"2023"
"MONTAUBAN - TOULOUSE MATABIAU";"MONTAUBAN";"TOULOUSE MATABIAU";2169;0,0373907497112517;0;"Janvier";"2023"
"CARCASSONNE - TOULOUSE MATABIAU";"CARCASSONNE";"TOULOUSE MATABIAU";1862;0,0320984674791843;0;"Janvier";"2023"
"BEZIERS - MONTPELLIER SAINT-ROCH";"BEZIERS";"MONTPELLIER SAINT-ROCH";1528;0,0263407402299643;0;"Janvier";"2023"
"MONTPELLIER SAINT-ROCH - SETE";"MONTPELLIER SAINT-ROCH";"SETE";1519;0,0261855918909135;0;"Janvier";"2023"
"AGEN - TOULOUSE MATABIAU";"AGEN";"TOULOUSE MATABIAU";1490;0,025685669465083;0;"Janvier";"2023"
"PERPIGNAN - TOULOUSE MATABIAU";"PERPIGNAN";"TOULOUSE MATABIAU";1414;0,0243755279353204;0;"Janvier";"2023"
"MONTPELLIER SAINT-ROCH - NARBONNE";"MONTPELLIER SAINT-ROCH";"NARBONNE";1384;0,0238583668051509;0;"Janvier";"2023"
"NARBONNE - TOULOUSE MATABIAU";"NARBONNE";"TOULOUSE MATABIAU";1365;0,0235308314227103;0;"Janvier";"2023"
"AVIGNON CENTRE - MONTPELLIER SAINT-ROCH";"AVIGNON CENTRE";"MONTPELLIER SAINT-ROCH";1348;0,0232377734489476;0;"Janvier";"2023"
"MONTPELLIER SAINT-ROCH - PERPIGNAN";"MONTPELLIER SAINT-ROCH";"PERPIGNAN";1234;0,0212725611543036;0;"Janvier";"2023"
"CAHORS - TOULOUSE MATABIAU";"CAHORS";"TOULOUSE MATABIAU";1188;0,0204795807547105;0;"Janvier";"2023"
"RODEZ - TOULOUSE MATABIAU";"RODEZ";"TOULOUSE MATABIAU";1077;0,0185660845730835;0;"Janvier";"2023"
"CASTRES - TOULOUSE MATABIAU";"CASTRES";"TOULOUSE MATABIAU";874;0,0150666275922702;0;"Janvier";"2023"
"FOIX - TOULOUSE MATABIAU";"FOIX";"TOULOUSE MATABIAU";870;0,0149976727749142;0;"Janvier";"2023"
"PAMIERS - TOULOUSE MATABIAU";"PAMIERS";"TOULOUSE MATABIAU";813;0,0140150666275923;0;"Janvier";"2023"
"ALES - NIMES";"ALES";"NIMES";775;0,013359995862711;0;"Janvier";"2023"
