"Mode.de.transport";"MILLESIME";"VOY_KM"
"Transports ferrés3";"2012";105,956592588534
"Transports ferrés3";"2013";105,21449045797
"Transports ferrés3";"2014";104,589294837491
"Transports ferrés3";"2015";104,848985430716
"Transports ferrés3";"2016";104,207280275976
"Transports ferrés3";"2017";110,469223484713
"Transports ferrés3";"2018";107,872564305266
"Transports ferrés3";"2019";112,309318390959
"Transports ferrés3";"2020";64,8163055079347
"Transports ferrés3";"2021";86,4191107187238
"Transports ferrés3";"2022";117,851724654235
